city_name,province_name,value
孝感市,湖北省,13.21
黄冈市,湖北省,11.37
咸宁市,湖北省,5.98
鄂州市,湖北省,5.94
荆州市,湖北省,5.51
黄石市,湖北省,4.42
襄阳市,湖北省,3.58
荆门市,湖北省,2.89
随州市,湖北省,2.83
宜昌市,湖北省,2.8
仙桃市,湖北省,2.56
长沙市,湖南省,1.79
十堰市,湖北省,1.66
北京市,北京市,1.57
恩施土家族苗族自治州,湖北省,1.5
天门市,湖北省,1.49
潜江市,湖北省,1.3
上海市,上海市,1.19
信阳市,河南省,1.17
重庆市,重庆市,1.03
广州市,广东省,0.97
深圳市,广东省,0.84
郑州市,河南省,0.78
合肥市,安徽省,0.64
九江市,江西省,0.58
杭州市,浙江省,0.57
成都市,四川省,0.55
驻马店市,河南省,0.54
南昌市,江西省,0.53
南京市,江苏省,0.52
岳阳市,湖南省,0.52
西安市,陕西省,0.42
南阳市,河南省,0.42
苏州市,江苏省,0.37
安庆市,安徽省,0.3
厦门市,福建省,0.3
贵阳市,贵州省,0.29
昆明市,云南省,0.26
周口市,河南省,0.26
阜阳市,安徽省,0.25
六安市,安徽省,0.24
天津市,天津市,0.23
佛山市,广东省,0.23
东莞市,广东省,0.23
宁波市,浙江省,0.22
常德市,湖南省,0.21
商丘市,河南省,0.2
福州市,福建省,0.2
南宁市,广西壮族自治区,0.19
无锡市,江苏省,0.19
洛阳市,河南省,0.19
石家庄市,河北省,0.18
温州市,浙江省,0.18
株洲市,湖南省,0.17
衡阳市,湖南省,0.17
哈尔滨市,黑龙江省,0.16
宜春市,江西省,0.16
济南市,山东省,0.16
漯河市,河南省,0.15
青岛市,山东省,0.14
海口市,海南省,0.14
上饶市,江西省,0.14
娄底市,湖南省,0.14
太原市,山西省,0.14
赣州市,江西省,0.14
徐州市,江苏省,0.13
泉州市,福建省,0.13
金华市,浙江省,0.13
珠海市,广东省,0.13
乌鲁木齐市,新疆维吾尔自治区,0.13
湘潭市,湖南省,0.13
北海市,广西壮族自治区,0.13
桂林市,广西壮族自治区,0.13
遵义市,贵州省,0.13
神农架林区,湖北省,0.13
三亚市,海南省,0.13
许昌市,河南省,0.13
益阳市,湖南省,0.12
芜湖市,安徽省,0.12
邯郸市,河北省,0.12
惠州市,广东省,0.12
新乡市,河南省,0.12
嘉兴市,浙江省,0.11
安阳市,河南省,0.11
沈阳市,辽宁省,0.11
常州市,江苏省,0.11
绍兴市,浙江省,0.1
扬州市,江苏省,0.1
南通市,江苏省,0.1
抚州市,江西省,0.1
保定市,河北省,0.1
平顶山市,河南省,0.1
开封市,河南省,0.1
景德镇市,江西省,0.1
吉安市,江西省,0.09
菏泽市,山东省,0.09
黔东南苗族侗族自治州,贵州省,0.09
台州市,浙江省,0.09
大连市,辽宁省,0.09
兰州市,甘肃省,0.09
