序号,园区名称,省份,城市/区,占地面积(亩),企业数(家),详情,链接,中心,多个顶点
1,气象局小区,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/b8d528d942785397.html,"(116.330750,39.947801)"
2,中发智造中关村智能创造创新中心,北京市,海淀区,0,1076,详细 ,https://d.qianzhan.com//yuanqu/dtl/7fb71ff9d53122d4.html,"(116.318878,39.974984)"
3,中关村前沿技术创新中心,北京市,海淀区,0,165,详细 ,https://d.qianzhan.com//yuanqu/dtl/accd64f1ef871289.html,"(116.303666,39.985635)"
4,中央企业创新创业中心,北京市,海淀区,0,48,详细 ,https://d.qianzhan.com//yuanqu/dtl/44b1e95206052e2a.html,"(116.312728,39.981363)"
5,五矿国际创新中心,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/3e21f7e3dad37442.html,"(116.117484,40.085130)"
6,Plug and Play(中国总部),北京市,海淀区,0,49,详细 ,https://d.qianzhan.com//yuanqu/dtl/9dc7e42400138c05.html,"(116.335028,39.994875)"
7,容观国际创意广场,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/ee8b5ee5c7077bef.html,"(116.267749,39.941769)"
8,数字文化区,北京市,海淀区,0,2,详细 ,https://d.qianzhan.com//yuanqu/dtl/9e4eed5bec95dcd9.html,"(116.310144,39.975452)"
9,中国梦组委会中国故事创造基地,北京市,海淀区,0,13,详细 ,https://d.qianzhan.com//yuanqu/dtl/221f97838696c983.html,"(116.298870,39.925621)"
10,中国创业创新发展委员会新三板创业创新基地,北京市,海淀区,0,13,详细 ,https://d.qianzhan.com//yuanqu/dtl/011d3a78a60d3a79.html,"(116.298870,39.925621)"
11,apus全球移动孵化基地,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/ace581d9bca01bcc.html,"(116.235388,39.953186)"
12,科方创业孵化器,北京市,海淀区,0,7,详细 ,https://d.qianzhan.com//yuanqu/dtl/02fc340fee2c69bd.html,"(116.291291,40.042432)"
13,创客天下创新创业共享经济生态系统,北京市,海淀区,0,77,详细 ,https://d.qianzhan.com//yuanqu/dtl/ab5fec4efcb14d21.html,"(116.328242,40.053368)"
14,京蒙高科大厦,北京市,海淀区,0,94,详细 ,https://d.qianzhan.com//yuanqu/dtl/774ae7054df19b2c.html,"(116.304564,40.051551)"
15,教育部来华留学示范基地,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/e66fe39b1fb8da10.html,"(116.309170,39.936433)"
