园区,企业名称,曾用名,统一信用代码,注册号,法定代表人,企业类型,成立日期,注册资本,联系电话,公司网站,注册地址,经营范围,所属行业,股东信息,成员信息
气象局小区,,,,,,,,,,,,,,,
,北京****消防阻燃技术有限公司,,91110108771968****,11010800799****,赵****,有限责任公司(自然人投资或控股),2005/3/2,30(万元),1380137****,,北京市海淀区西郊北洼路1区195幢1层129,技术开发、技术推广、技术转让、技术服务；销售机械设备、五金交电、电子产品、建筑材料、金属材料。（未取得行政许可的项目除外）（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,农业技术推广服务，机械设备、五金产品及电子产品批发,赵****（持股比例：100.00%，认缴出资额：30万元，股东类型：自然人股东）黄****（持股比例：--，认缴出资额：0，股东类型：自然人股东）,赵****（执行董事）赵****（总经理）黄****（监事）
,,,,,,,,,,,,,,,
中发智造中关村智能创造创新中心,,,,,,,,,,,,,,,
,北京****技有限公司,,91110108MA008F****,11010802208****,沈****,有限责任公司(自然人投资或控股),2016/9/26,50(万元),1870131****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发天交电子市场B1521,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、安全技术防范产品、通讯设备、照相器材；办公设备维修、日用品修理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，信息系统集成服务,吉****（认缴额：--，实缴额：--，股东类型：自然人股东）沈****（认缴额：--，实缴额：--，股东类型：自然人股东）,沈****（执行董事）沈****（经理）吉****（监事）
,北京****技有限公司,,91110108MA006Y****,11010802165****,刘****,有限责任公司(自然人独资),2016/7/18,10(万元),1391030****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发天交电子市场F4012,技术开发；销售计算机软件及辅助设备、电子产品、机械设备、五金交电（不从事实体店铺经营）、安全技术防范产品、通讯设备、照相器材；办公设备维修、家用电器修理、日用品修理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,刘****（认缴额：10，实缴额：--，股东类型：自然人股东）,刘****（执行董事）刘****（经理）张****（监事）
,北京****电子科技有限公司,,91110108682876****,11010801147****,张****,有限责任公司(自然人投资或控股),2008/11/24,50(万元),6264****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发电子市场2223,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、五金交电。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,林****（持股比例：50.00%，认缴出资额：25万元，股东类型：自然人股东）靖****（持股比例：50.00%，认缴出资额：25万元，股东类型：自然人股东）,林****（董事）林****（董事）张****（监事）张****（董事长）张****（经理）
,北京****科贸有限公司,,91110108682894****,11010801144****,陈****,有限责任公司(自然人投资或控股),2008/11/13,3(万元),8262****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发天交电子市场二层F2203号,技术开发；销售计算机软件硬件及外围设备零配件、电子产品、机械电子设备、五金交电。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,陈****（持股比例：50.00%，认缴出资额：1.50万元，股东类型：自然人股东）陈****（持股比例：50.00%，认缴出资额：1.50万元，股东类型：自然人股东）,陈****（执行董事）陈****（总经理）陈****（监事）
,北京****达科技发展有限公司北京第一贸易中心,,91110108680492****,11010801130****,杨****,有限责任公司分公司(自然人投资或控股),2008/9/2,,1350102****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发电子市场F3107,销售计算机软硬件及外围设备零配件、电子产品、通讯设备。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),机械设备、五金产品及电子产品批发，计算机外围设备制造,,杨****（负责人）
,北京****业电子产品销售中心,,91110108802068****,11010800199****,蔡****,,2001/3/13,3(万元),8262****,,北京市海淀区海淀路86号36号楼1-9层北京中发天交电子市场8层D105,销售五金交电、计算机，软件及辅助设备、电子产品、机械设备。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,蔡****（认缴额：--，实缴额：--，股东类型：自然人股东）杨****（认缴额：--，实缴额：--，股东类型：自然人股东）,蔡****（执行董事）蔡****（经理）杨****（监事）
